emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept_no,dept_name
51824,Anneli,Kusakabe,1/12/1964,7/13/1990,1/1/9999,Engineer,d006,Quality Management
51859,Paddy,Riefers,4/5/1964,8/13/1996,1/1/9999,Staff,d003,Human Resources
51883,Kwee,Blokdijk,6/18/1964,4/19/1996,1/1/9999,Engineer,d005,Development
51889,Shawna,Hatcliff,2/11/1964,3/23/1991,1/1/9999,Senior Staff,d002,Finance
51915,Dannz,Usdin,2/5/1964,10/31/1997,1/1/9999,Engineer,d005,Development
51925,Bader,Conia,3/9/1964,9/10/1989,1/1/9999,Senior Staff,d007,Sales
51937,TRUE,Neiman,1/20/1964,1/1/1991,1/1/9999,Engineer,d005,Development
51951,Hilari,Stifter,6/24/1964,11/4/1993,1/1/9999,Engineer,d004,Production
51962,Soenke,Rohrbach,10/13/1964,9/17/1987,1/1/9999,Senior Staff,d009,Customer Service
51976,Florian,Vidya,12/13/1964,1/4/1994,1/1/9999,Senior Staff,d007,Sales
51999,Katsuo,Vendrig,4/30/1964,12/13/1989,1/1/9999,Engineer,d006,Quality Management
52011,Godehard,Sundgren,8/15/1964,7/26/1993,1/1/9999,Senior Staff,d001,Marketing
52027,Uli,Janocha,3/8/1964,7/5/1997,1/1/9999,Engineer,d004,Production
52035,Shridhar,Sigstam,5/8/1964,3/19/1997,1/1/9999,Engineer,d005,Development
52047,Gita,Mapelli,12/7/1964,10/22/1988,1/1/9999,Senior Staff,d007,Sales
52061,Jayesh,Dusink,1/12/1964,11/30/1997,1/1/9999,Senior Engineer,d008,Research
52077,Rosella,Streit,12/14/1964,2/24/1988,1/1/9999,Senior Engineer,d004,Production
52081,Renee,Hiraishi,3/7/1964,11/30/1988,1/1/9999,Technique Leader,d004,Production
52093,Gretta,Lowrie,1/30/1964,12/3/1999,1/1/9999,Engineer,d005,Development
52096,Tomokazu,Yetim,11/25/1964,7/6/1986,1/1/9999,Senior Staff,d009,Customer Service
52102,Halsur,Hellwagner,3/18/1964,8/5/1998,1/1/9999,Engineer,d005,Development
52104,Tomokazu,Zastre,1/29/1964,6/4/1988,1/1/9999,Engineer,d005,Development
52118,Laurentiu,Kruskal,5/16/1964,7/11/1993,1/1/9999,Engineer,d005,Development
52129,Tokuyasu,Schiettecatte,5/31/1964,2/11/1991,1/1/9999,Senior Engineer,d005,Development
52136,Munehiko,Meszaros,12/13/1964,3/30/1996,1/1/9999,Senior Engineer,d005,Development
52176,Jasminko,Macedo,11/8/1964,11/2/1990,1/1/9999,Engineer,d005,Development
52189,Gennadi,DuCasse,8/21/1964,8/7/1996,1/1/9999,Senior Engineer,d005,Development
52197,Lunjin,Thisen,1/28/1964,8/3/1993,1/1/9999,Senior Engineer,d004,Production
52199,Chikako,Figueira,9/12/1964,11/25/1989,1/1/9999,Engineer,d004,Production
52212,Uno,Piancastelli,12/20/1964,11/20/1989,1/1/9999,Senior Engineer,d006,Quality Management
52215,Flemming,Uhrik,4/2/1964,5/9/1989,1/1/9999,Engineer,d005,Development
52225,Aamer,Homond,3/15/1964,1/29/1999,1/1/9999,Engineer,d005,Development
52243,Zhiguo,Swen,9/19/1964,10/22/1987,1/1/9999,Senior Engineer,d004,Production
52251,Uri,Jonsson,12/20/1964,12/8/1995,1/1/9999,Senior Staff,d001,Marketing
52266,Kristen,Ernst,10/21/1964,9/4/1998,1/1/9999,Staff,d002,Finance
52284,Tran,Shackell,9/2/1964,9/26/1987,1/1/9999,Senior Staff,d007,Sales
52316,Kotesh,Piazza,1/9/1964,3/31/1987,1/1/9999,Engineer,d004,Production
52325,Adas,Heinisuo,8/9/1964,10/14/2000,1/1/9999,Senior Staff,d005,Development
52349,Ipke,Lorcy,2/24/1964,6/27/1987,1/1/9999,Engineer,d004,Production
52389,Sajjad,Schiettecatte,9/2/1964,1/6/1993,1/1/9999,Senior Staff,d009,Customer Service
52405,Ibibia,Qiwen,7/30/1964,7/24/1995,1/1/9999,Engineer,d006,Quality Management
52407,Miomir,Ferriere,10/5/1964,7/24/1995,1/1/9999,Staff,d009,Customer Service
52437,Eckart,Hiyoshi,6/6/1964,3/16/1985,1/1/9999,Senior Staff,d001,Marketing
52438,Kousuke,Suermann,7/2/1964,6/20/1986,1/1/9999,Technique Leader,d005,Development
52439,Shem,Lorho,8/8/1964,6/2/1993,1/1/9999,Engineer,d006,Quality Management
52444,Tiina,Serna,7/14/1964,5/3/1985,1/1/9999,Senior Staff,d007,Sales
52455,Kinh,Takkinen,3/24/1964,3/6/1992,1/1/9999,Senior Engineer,d004,Production
52519,Rafail,Gargeya,4/11/1964,11/19/2001,1/1/9999,Senior Staff,d003,Human Resources
52522,Sukumar,Veeraraghavan,10/5/1964,10/22/1985,1/1/9999,Senior Staff,d001,Marketing
52594,Uta,Driscoll,6/24/1964,11/27/1991,1/1/9999,Engineer,d005,Development
52615,Ghassan,Baak,12/17/1964,3/11/1986,1/1/9999,Senior Staff,d007,Sales
52650,Shooichi,Makinen,3/30/1964,1/15/1987,1/1/9999,Senior Staff,d007,Sales
52660,Djenana,Khamsi,10/11/1964,5/1/1992,1/1/9999,Assistant Engineer,d005,Development
52664,Godehard,Schnelling,2/23/1964,8/7/1995,1/1/9999,Engineer,d005,Development
52678,Lijie,Bratten,6/17/1964,7/17/1987,1/1/9999,Engineer,d006,Quality Management
52707,Trygve,Merel,11/15/1964,1/10/1990,1/1/9999,Engineer,d005,Development
52720,Ishfaq,Hebert,8/22/1964,3/4/1991,1/1/9999,Engineer,d005,Development
52739,Chaoyi,Ullian,4/21/1964,11/13/1995,1/1/9999,Staff,d002,Finance
52750,Koichi,Ibel,4/7/1964,3/14/1995,1/1/9999,Engineer,d004,Production
52753,Xudong,Leppanen,12/20/1964,8/6/1987,1/1/9999,Senior Staff,d008,Research
52754,Howell,Mandell,9/23/1964,12/12/1986,1/1/9999,Senior Staff,d001,Marketing
52772,Masami,Karner,6/4/1964,2/15/1986,1/1/9999,Senior Staff,d008,Research
52831,Chiranjit,Simmen,9/20/1964,2/9/1986,1/1/9999,Engineer,d004,Production
52834,Mats,Brandsma,2/20/1964,8/5/1997,1/1/9999,Engineer,d004,Production
52843,Juyoung,Androutsos,7/15/1964,1/19/1991,1/1/9999,Engineer,d004,Production
52854,Saddek,Luit,8/10/1964,4/15/1992,1/1/9999,Senior Staff,d001,Marketing
52872,Perry,Soicher,11/15/1964,7/11/1990,1/1/9999,Senior Staff,d007,Sales
52888,Francoise,Rehfuss,2/14/1964,10/20/1994,1/1/9999,Engineer,d005,Development
52914,Mabo,Bolsens,5/19/1964,1/29/1997,1/1/9999,Engineer,d004,Production
52940,Heping,Siochi,8/4/1964,7/10/1992,1/1/9999,Senior Engineer,d005,Development
52941,Rafail,Seiwald,9/7/1964,6/16/1993,1/1/9999,Senior Staff,d002,Finance
52948,Steve,Georgakopoulos,12/6/1964,1/7/1988,1/1/9999,Engineer,d005,Development
52953,Jianhua,Nooteboom,7/29/1964,2/18/1991,1/1/9999,Assistant Engineer,d004,Production
52966,Geoffrey,Stroustrup,1/30/1964,12/4/1995,1/1/9999,Assistant Engineer,d005,Development
52972,Luerbio,Kirkerud,7/12/1964,6/20/1991,1/1/9999,Senior Staff,d001,Marketing
52984,Arvind,Velardi,4/30/1964,11/10/1986,1/1/9999,Engineer,d004,Production
52989,Adit,Raney,7/18/1964,8/29/1998,1/1/9999,Senior Engineer,d006,Quality Management
53017,Zhonghui,Simkin,7/22/1964,3/5/1995,1/1/9999,Senior Staff,d001,Marketing
53034,Shigenori,Bojadziev,3/20/1964,3/12/1993,1/1/9999,Engineer,d004,Production
53044,Hinrich,Schaad,1/23/1964,5/3/1987,1/1/9999,Engineer,d006,Quality Management
53071,Weiyi,Baek,11/12/1964,4/24/1989,1/1/9999,Senior Staff,d007,Sales
53075,Kenton,Rosch,5/7/1964,11/29/1997,1/1/9999,Staff,d009,Customer Service
53085,Ziyad,Melter,6/22/1964,5/16/1996,1/1/9999,Senior Staff,d007,Sales
53095,Utpal,Riesenhuber,11/5/1964,1/15/1992,1/1/9999,Senior Engineer,d005,Development
53102,Sreekrishna,Muchinsky,12/30/1964,10/30/1985,1/1/9999,Senior Staff,d002,Finance
53132,Yolla,Swist,10/2/1964,9/17/1991,1/1/9999,Senior Engineer,d005,Development
53142,Fumiya,Aloia,8/18/1964,10/20/1986,1/1/9999,Senior Engineer,d004,Production
53144,Marke,Stroustrup,4/21/1964,6/10/1986,1/1/9999,Engineer,d005,Development
53176,Changho,Zockler,5/21/1964,4/2/1996,1/1/9999,Senior Staff,d001,Marketing
53226,Yurij,Koyama,9/22/1964,6/4/1992,1/1/9999,Senior Staff,d007,Sales
53240,Zvonko,Luga,9/8/1964,2/15/1997,1/1/9999,Engineer,d006,Quality Management
53253,Renny,Rousseau,7/19/1964,7/30/1988,1/1/9999,Engineer,d004,Production
53261,Jaideep,Braunschweig,11/10/1964,6/20/1996,1/1/9999,Staff,d008,Research
53287,Youngkon,Walstra,7/20/1964,3/2/1998,1/1/9999,Senior Engineer,d005,Development
53332,Niteen,Birsak,3/15/1964,9/14/1990,1/1/9999,Engineer,d005,Development
53351,Uinam,Kalorkoti,11/25/1964,7/20/1994,1/1/9999,Engineer,d005,Development
53357,Adil,Pramanik,5/1/1964,1/15/1999,1/1/9999,Engineer,d005,Development
53385,Kenton,Melter,5/1/1964,4/12/1995,1/1/9999,Senior Staff,d007,Sales
53387,Wojceich,Zyda,7/2/1964,1/18/1987,1/1/9999,Senior Staff,d002,Finance
53458,Xuedong,Monarch,10/10/1964,5/9/1999,1/1/9999,Staff,d007,Sales
53483,Guangming,Luby,8/29/1964,5/10/1994,1/1/9999,Senior Staff,d003,Human Resources
53487,Aleksander,Hopewell,5/23/1964,4/12/1998,1/1/9999,Engineer,d004,Production
53541,Arve,Zucker,8/2/1964,12/5/1999,1/1/9999,Staff,d001,Marketing
53575,Premal,Gill,2/26/1964,12/27/1990,1/1/9999,Engineer,d005,Development
53625,Leen,Worfolk,7/24/1964,12/2/2001,1/1/9999,Assistant Engineer,d009,Customer Service
53630,Aluzio,Paludetto,11/13/1964,10/17/1992,1/1/9999,Engineer,d004,Production
53647,Karsten,Munoz,6/3/1964,9/14/1990,1/1/9999,Senior Staff,d009,Customer Service
53653,Martial,Narahara,7/11/1964,7/29/2000,1/1/9999,Staff,d009,Customer Service
53656,Nagui,Chappelet,4/20/1964,12/4/1988,1/1/9999,Senior Staff,d007,Sales
53667,Tokuyasu,Matteis,1/1/1964,5/8/1987,1/1/9999,Technique Leader,d004,Production
53698,Nimmagadda,Cronau,9/2/1964,8/8/1994,1/1/9999,Engineer,d004,Production
53714,Radhia,Hofting,10/30/1964,9/20/1991,1/1/9999,Technique Leader,d004,Production
53722,Nikolaus,Fetvedt,7/24/1964,10/23/1993,1/1/9999,Senior Staff,d009,Customer Service
53737,Masami,Kaminger,11/5/1964,9/7/1992,1/1/9999,Senior Engineer,d005,Development
53750,Zhigen,Masand,1/22/1964,10/28/1992,1/1/9999,Senior Staff,d002,Finance
53806,Troy,Beidas,9/16/1964,3/25/1999,1/1/9999,Senior Staff,d003,Human Resources
53844,Moon,Mitzlaff,7/27/1964,6/17/1994,1/1/9999,Engineer,d004,Production
53876,Tomoyuki,Melski,7/24/1964,3/2/1995,1/1/9999,Engineer,d009,Customer Service
53890,Lenore,Beetstra,8/12/1964,4/5/1989,1/1/9999,Engineer,d005,Development
53908,Steen,Itzfeldt,11/18/1964,2/23/1994,1/1/9999,Engineer,d005,Development
53911,Maria,Peyn,6/6/1964,1/31/1997,1/1/9999,Staff,d007,Sales
53968,Weiye,Burnard,8/13/1964,10/3/1996,1/1/9999,Engineer,d004,Production
53979,Weicheng,Lung,4/11/1964,1/22/1994,1/1/9999,Staff,d007,Sales
53997,Terresa,Wursthorn,2/13/1964,10/18/1993,1/1/9999,Technique Leader,d005,Development
54000,Geraldo,Rusterholz,11/9/1964,3/23/1991,1/1/9999,Engineer,d006,Quality Management
54026,Zijian,Toyoshima,7/5/1964,1/14/1993,1/1/9999,Senior Staff,d008,Research
54051,Nechama,DiGiano,3/4/1964,1/26/1996,1/1/9999,Assistant Engineer,d005,Development
54059,Shakhar,Danley,7/8/1964,4/22/1993,1/1/9999,Engineer,d004,Production
54080,Hyuncheol,Conta,6/17/1964,7/3/1995,1/1/9999,Staff,d008,Research
54106,Arun,Speek,5/30/1964,11/30/1990,1/1/9999,Senior Engineer,d005,Development
54117,Jagoda,Kuhnemann,10/1/1964,12/7/1999,1/1/9999,Senior Staff,d002,Finance
54145,Elgin,Deyuan,2/1/1964,6/15/1996,1/1/9999,Senior Staff,d007,Sales
54215,Branimir,Nivat,11/6/1964,11/27/1996,1/1/9999,Senior Engineer,d004,Production
54229,Limsoon,Yemenis,8/7/1964,4/23/1986,1/1/9999,Senior Staff,d009,Customer Service
54249,Sadegh,Bultermann,7/29/1964,5/3/1985,1/1/9999,Senior Staff,d008,Research
54252,Shuky,Fontan,6/30/1964,8/9/2000,1/1/9999,Engineer,d006,Quality Management
54258,Sumali,Suwa,2/8/1964,2/19/1996,1/1/9999,Engineer,d005,Development
54261,Spyrose,Marsiglia,3/21/1964,2/8/1988,1/1/9999,Senior Staff,d007,Sales
54310,Jovan,Eldridge,4/17/1964,9/15/1996,1/1/9999,Staff,d001,Marketing
54317,Abdulla,Krider,5/27/1964,4/16/2002,1/1/9999,Staff,d009,Customer Service
54333,Radhika,Crabtree,2/20/1964,8/13/1995,1/1/9999,Staff,d007,Sales
54378,Wanqing,McAlpine,3/30/1964,12/10/1989,1/1/9999,Senior Staff,d003,Human Resources
54404,Khedija,Merle,6/26/1964,7/2/1990,1/1/9999,Senior Staff,d009,Customer Service
54422,Spyrose,Famili,10/2/1964,11/10/1992,1/1/9999,Engineer,d005,Development
54449,Duri,Gien,10/21/1964,2/21/1989,1/1/9999,Senior Staff,d007,Sales
54475,Dinkar,Staylopatis,9/4/1964,11/28/1997,1/1/9999,Staff,d007,Sales
54478,Alair,Bondorf,4/20/1964,10/9/1995,1/1/9999,Staff,d009,Customer Service
54502,Martins,Swen,8/27/1964,10/28/1999,1/1/9999,Engineer,d005,Development
54544,Diederik,Kandlur,3/25/1964,6/19/1989,1/1/9999,Senior Staff,d009,Customer Service
54568,Moon,Lorys,6/24/1964,4/1/1995,1/1/9999,Engineer,d004,Production
54601,Hongzhu,Usery,5/7/1964,12/13/1988,1/1/9999,Senior Engineer,d004,Production
54640,Jinya,Lindqvist,10/25/1964,2/20/1987,1/1/9999,Senior Staff,d007,Sales
54650,Bokyung,Brickell,3/25/1964,9/25/1995,1/1/9999,Senior Staff,d008,Research
54673,Kensei,Cappelli,6/26/1964,9/18/1998,1/1/9999,Engineer,d006,Quality Management
54678,Tonny,Marchesini,7/3/1964,3/1/1987,1/1/9999,Senior Staff,d002,Finance
54688,Nirmal,Penttonen,10/21/1964,10/30/1995,1/1/9999,Engineer,d005,Development
54694,Ebru,Melton,6/27/1964,2/17/1988,1/1/9999,Engineer,d004,Production
54723,Shay,Bellmore,5/24/1964,1/10/2002,1/1/9999,Senior Staff,d009,Customer Service
54725,Holgard,Anido,7/23/1964,12/1/1987,1/1/9999,Engineer,d005,Development
54750,Zhanqiu,Beilner,10/9/1964,9/20/1994,1/1/9999,Senior Staff,d009,Customer Service
54771,Tetsurou,Peir,10/8/1964,6/9/1992,1/1/9999,Senior Engineer,d005,Development
54776,Hyuckchul,Rossi,2/22/1964,11/25/1988,1/1/9999,Senior Staff,d008,Research
54780,Tsuneo,Demke,8/15/1964,9/21/1987,1/1/9999,Technique Leader,d004,Production
54785,Huai,Conte,3/25/1964,6/8/1998,1/1/9999,Engineer,d005,Development
54791,Valdiodio,Hockney,7/18/1964,12/20/1987,1/1/9999,Senior Staff,d009,Customer Service
54794,Candida,Conde,4/2/1964,2/24/1995,1/1/9999,Engineer,d004,Production
54814,Wilmer,Akazan,8/25/1964,1/16/1988,1/1/9999,Senior Engineer,d004,Production
54838,Arvin,Hainaut,9/12/1964,12/18/1992,1/1/9999,Senior Staff,d007,Sales
54852,Kiyokazu,Slaats,8/13/1964,5/23/1993,1/1/9999,Senior Staff,d008,Research
54861,Huiqun,Ratzlaff,10/19/1964,9/25/1987,1/1/9999,Engineer,d005,Development
54894,Palash,Pews,3/20/1964,9/22/1998,1/1/9999,Senior Staff,d007,Sales
54900,Khalil,Stemann,2/22/1964,7/3/1986,1/1/9999,Senior Staff,d007,Sales
54911,Muneo,Verspoor,8/23/1964,2/19/1994,1/1/9999,Engineer,d004,Production
54916,Gita,Perng,8/15/1964,8/15/1997,1/1/9999,Staff,d009,Customer Service
54938,Yakkov,Tempesti,4/9/1964,7/3/1996,1/1/9999,Engineer,d005,Development
55006,Elliott,Tchuente,6/28/1964,10/10/1994,1/1/9999,Engineer,d004,Production
55021,Youngkon,Zaumen,7/25/1964,11/15/1985,1/1/9999,Senior Staff,d007,Sales
55025,Kazuhiro,Beilner,12/4/1964,5/12/1985,1/1/9999,Engineer,d005,Development
55031,Katsuyuki,Zongker,12/25/1964,10/29/1989,1/1/9999,Senior Staff,d002,Finance
55033,Aiichiro,Lorho,9/27/1964,5/9/1987,1/1/9999,Senior Staff,d003,Human Resources
55051,Conal,Beznosov,12/24/1964,9/6/1993,1/1/9999,Engineer,d005,Development
55072,Yakkov,Spataro,12/8/1964,8/10/1992,1/1/9999,Engineer,d004,Production
55088,Heng,Businaro,4/3/1964,9/19/1996,1/1/9999,Senior Staff,d007,Sales
55136,Shiv,Cyne,3/14/1964,7/1/1997,1/1/9999,Staff,d003,Human Resources
55148,Aimee,Yetim,3/31/1964,7/22/1994,1/1/9999,Engineer,d005,Development
55202,Ranga,Tsukuda,5/5/1964,10/11/1998,1/1/9999,Engineer,d005,Development
55222,Huican,Danecki,8/22/1964,12/11/1995,1/1/9999,Staff,d008,Research
55244,Changho,Merlo,6/24/1964,1/16/1992,1/1/9999,Senior Staff,d003,Human Resources
55292,Anneke,Bennet,6/10/1964,12/23/2000,1/1/9999,Assistant Engineer,d006,Quality Management
55293,Nalini,Bazzichi,8/3/1964,12/12/1990,1/1/9999,Senior Staff,d008,Research
55322,Garnik,Heijenga,3/15/1964,9/9/1985,1/1/9999,Engineer,d004,Production
55360,Aemilian,Mitzlaff,1/16/1964,6/25/1998,1/1/9999,Senior Engineer,d006,Quality Management
55376,Kristen,Pezzoli,9/13/1964,1/27/1992,1/1/9999,Engineer,d004,Production
55387,Tran,Birsak,4/25/1964,6/25/1998,1/1/9999,Staff,d007,Sales
55457,Xiahua,Rusterholz,1/11/1964,10/20/1989,1/1/9999,Senior Staff,d007,Sales
55495,Billur,Lodder,2/23/1964,2/17/1997,1/1/9999,Engineer,d004,Production
55513,Yaghout,Gulak,6/22/1964,12/12/1994,1/1/9999,Senior Staff,d002,Finance
55536,Jungsoon,Baba,1/11/1964,2/7/1987,1/1/9999,Senior Staff,d007,Sales
55547,Jeong,Gente,8/11/1964,1/17/1995,1/1/9999,Technique Leader,d004,Production
55562,Nikolaos,Schrift,6/14/1964,5/13/1997,1/1/9999,Staff,d002,Finance
55564,Danil,Akazan,4/30/1964,6/15/1994,1/1/9999,Assistant Engineer,d005,Development
55573,Sachio,Pocchiola,5/9/1964,5/16/1993,1/1/9999,Assistant Engineer,d005,Development
55607,Mayumi,Detkin,7/30/1964,11/4/1994,1/1/9999,Staff,d001,Marketing
55611,Moss,Kuszyk,7/14/1964,6/9/1999,1/1/9999,Engineer,d004,Production
55618,Terresa,Heering,4/21/1964,7/30/1995,1/1/9999,Staff,d007,Sales
55627,Basem,Yurek,8/30/1964,12/17/1995,1/1/9999,Senior Staff,d008,Research
55638,Younwoo,Lortz,6/6/1964,10/26/1996,1/1/9999,Engineer,d005,Development
55648,Valery,Pettey,5/12/1964,4/20/1995,1/1/9999,Senior Staff,d003,Human Resources
55691,Xuejun,Kusakari,10/7/1964,8/8/1994,1/1/9999,Senior Staff,d007,Sales
55705,Debaprosad,Pargas,9/7/1964,12/25/1993,1/1/9999,Technique Leader,d005,Development
55744,Henk,Swab,1/27/1964,8/23/1993,1/1/9999,Engineer,d004,Production
55771,Huican,Demeyer,1/13/1964,3/12/1991,1/1/9999,Engineer,d004,Production
55789,Satosi,Versino,2/24/1964,10/24/1998,1/1/9999,Engineer,d004,Production
55796,Qiwen,Milicia,6/1/1964,8/17/1996,1/1/9999,Senior Staff,d007,Sales
55797,Jaewon,Ranft,8/8/1964,7/14/1992,1/1/9999,Senior Staff,d007,Sales
55802,Larisa,Diderrich,1/9/1964,9/14/1992,1/1/9999,Engineer,d005,Development
55811,Shigeu,Capobianchi,1/6/1964,3/30/1990,1/1/9999,Engineer,d005,Development
55813,Conor,Schneeberger,5/1/1964,6/14/1988,1/1/9999,Engineer,d004,Production
55817,Ayonca,Dusink,7/8/1964,8/6/1997,1/1/9999,Engineer,d006,Quality Management
55828,Jaques,Tetzlaff,8/20/1964,9/28/1998,1/1/9999,Senior Staff,d007,Sales
55850,Feiyu,Koprowski,5/16/1964,6/25/1994,1/1/9999,Technique Leader,d004,Production
55868,Fai,Hashii,5/17/1964,1/27/1989,1/1/9999,Assistant Engineer,d004,Production
55920,Vishwani,Collette,3/22/1964,5/12/1993,1/1/9999,Senior Staff,d009,Customer Service
55937,Renee,Schneeberger,1/17/1964,8/19/1986,1/1/9999,Senior Staff,d001,Marketing
55940,Ziyad,Ramsay,9/2/1964,11/7/1987,1/1/9999,Technique Leader,d005,Development
55965,Basim,Mitzlaff,3/21/1964,12/18/1994,1/1/9999,Staff,d007,Sales
55968,Jacopo,Coorg,10/9/1964,1/16/1992,1/1/9999,Engineer,d005,Development
55990,Jouko,Usery,3/14/1964,7/15/1993,1/1/9999,Senior Staff,d003,Human Resources
56017,Nikolaus,Tischendorf,9/27/1964,6/30/1997,1/1/9999,Staff,d007,Sales
56024,Gopalakrishnan,Atrawala,11/10/1964,10/13/1994,1/1/9999,Engineer,d004,Production
56027,Anneli,Sigstam,12/14/1964,1/19/1992,1/1/9999,Engineer,d004,Production
56042,Gay,Krone,5/17/1964,9/29/1987,1/1/9999,Senior Staff,d003,Human Resources
56055,Uli,Janocha,2/5/1964,11/14/1999,1/1/9999,Technique Leader,d005,Development
56076,Malu,Yamaashi,11/8/1964,10/1/1999,1/1/9999,Staff,d002,Finance
56094,Charlene,Breugel,2/28/1964,7/24/1995,1/1/9999,Staff,d009,Customer Service
56113,Aleksander,Strehl,8/13/1964,2/5/1992,1/1/9999,Senior Staff,d007,Sales
56119,Alejandra,Varker,2/3/1964,7/4/1986,1/1/9999,Engineer,d005,Development
56122,Shounak,Chiodo,9/6/1964,10/30/1989,1/1/9999,Technique Leader,d005,Development
56124,Oldrich,Wroclawski,5/11/1964,10/13/1987,1/1/9999,Engineer,d004,Production
56152,Zhenhua,Covnot,5/8/1964,8/13/1995,1/1/9999,Engineer,d005,Development
56160,Miomir,Kadhim,8/20/1964,2/6/1993,1/1/9999,Senior Staff,d003,Human Resources
56161,Guiseppe,Azumi,1/16/1964,9/1/1988,1/1/9999,Senior Staff,d008,Research
56165,Constantine,Erdi,12/7/1964,3/9/1992,1/1/9999,Senior Staff,d007,Sales
56204,Teiji,Itschner,11/26/1964,1/27/1990,1/1/9999,Senior Engineer,d005,Development
56220,Candido,Deville,11/21/1964,5/24/1986,1/1/9999,Engineer,d004,Production
56233,Gunilla,Cincotta,4/15/1964,11/9/2001,1/1/9999,Engineer,d004,Production
56234,Yongqiao,Gecsei,5/9/1964,6/19/1999,1/1/9999,Engineer,d004,Production
56249,Ghassan,Erbe,11/14/1964,10/21/1991,1/1/9999,Engineer,d004,Production
56257,Harngdar,Comellas,4/30/1964,5/5/1999,1/1/9999,Staff,d008,Research
56258,Boutros,Foong,4/6/1964,4/13/1991,1/1/9999,Assistant Engineer,d005,Development
56274,Marin,Schmiedel,3/12/1964,11/26/1995,1/1/9999,Engineer,d005,Development
56282,Kerhong,Varley,4/25/1964,10/17/1990,1/1/9999,Senior Staff,d004,Production
56307,Luigi,Gewali,4/25/1964,2/22/1999,1/1/9999,Senior Engineer,d008,Research
56343,Karlis,Bahi,2/26/1964,12/21/1988,1/1/9999,Senior Staff,d007,Sales
56344,Krisda,Kowalchuk,5/30/1964,3/25/1997,1/1/9999,Engineer,d005,Development
56349,Honesty,Sethi,12/1/1964,1/27/1986,1/1/9999,Engineer,d004,Production
56362,Florina,Marrevee,11/3/1964,10/13/1985,1/1/9999,Senior Engineer,d005,Development
56373,Brewster,Besancenot,9/24/1964,2/2/1997,1/1/9999,Assistant Engineer,d006,Quality Management
56383,Mani,Schlenzig,4/12/1964,5/25/1987,1/1/9999,Engineer,d005,Development
56419,Yuchang,Keustermans,3/21/1964,2/9/1995,1/1/9999,Engineer,d004,Production
56434,Tze,Ranai,6/9/1964,1/27/1997,1/1/9999,Senior Engineer,d006,Quality Management
56440,Magy,Tsukuda,11/21/1964,6/13/1999,1/1/9999,Engineer,d005,Development
56456,Yakichi,Spinelli,5/12/1964,7/10/1997,1/1/9999,Senior Staff,d003,Human Resources
56484,Mahendra,Seuren,3/20/1964,9/2/1990,1/1/9999,Assistant Engineer,d006,Quality Management
56493,Mayuri,Escriba,11/9/1964,9/24/1991,1/1/9999,Senior Staff,d002,Finance
56523,Yannis,Asrin,5/8/1964,3/29/1994,1/1/9999,Staff,d007,Sales
56535,Shuky,Hasenauer,10/19/1964,11/28/1998,1/1/9999,Staff,d007,Sales
56536,Eishiro,Hammerschmidt,9/25/1964,7/22/1989,1/1/9999,Senior Staff,d009,Customer Service
56554,Feiyu,Chepyzhov,7/20/1964,6/28/1994,1/1/9999,Engineer,d005,Development
56555,Ziyad,Picht,6/7/1964,11/17/1998,1/1/9999,Staff,d007,Sales
56576,Rimli,Rodiger,3/22/1964,2/18/1989,1/1/9999,Senior Staff,d007,Sales
56599,Hugh,Hooghiemstra,11/4/1964,6/27/1997,1/1/9999,Senior Staff,d007,Sales
56623,Yongqiao,Perly,8/3/1964,6/24/1991,1/1/9999,Engineer,d005,Development
56624,Shigehito,Mahmud,10/7/1964,4/1/1993,1/1/9999,Senior Staff,d001,Marketing
56629,Arun,Gulla,7/2/1964,4/20/1987,1/1/9999,Engineer,d004,Production
56640,Rosita,Janocha,12/7/1964,4/23/1997,1/1/9999,Engineer,d005,Development
56646,Zhigen,Swan,9/3/1964,3/15/1991,1/1/9999,Senior Engineer,d004,Production
56669,Akeel,Birnbaum,2/29/1964,11/29/1995,1/1/9999,Senior Staff,d002,Finance
56676,Zhensheng,Milicic,8/14/1964,3/15/1999,1/1/9999,Engineer,d008,Research
56683,Jayson,Krider,5/22/1964,4/8/1996,1/1/9999,Engineer,d006,Quality Management
56729,Lucien,Nitsche,4/24/1964,10/17/1988,1/1/9999,Engineer,d004,Production
56735,Yuuichi,Gomatam,5/27/1964,5/22/1994,1/1/9999,Senior Staff,d008,Research
56736,Oscar,Brodie,3/28/1964,9/11/1993,1/1/9999,Senior Staff,d007,Sales
56746,Mads,Fadgyas,9/3/1964,10/31/1998,1/1/9999,Senior Staff,d007,Sales
56771,Gay,Panienski,11/25/1964,6/21/1990,1/1/9999,Engineer,d005,Development
56773,Jianhua,Parascandalo,8/3/1964,7/31/1995,1/1/9999,Engineer,d008,Research
56798,Jiakeng,Lanzelotte,12/27/1964,11/7/1998,1/1/9999,Staff,d003,Human Resources
56806,Naraig,Sudbeck,4/12/1964,6/10/1992,1/1/9999,Engineer,d004,Production
56838,Xinan,Veevers,6/21/1964,7/21/1986,1/1/9999,Senior Staff,d008,Research
56848,Urs,Stentiford,10/12/1964,4/9/1996,1/1/9999,Engineer,d005,Development
56875,Nikolaus,Kropatsch,3/2/1964,4/26/1996,1/1/9999,Senior Staff,d001,Marketing
